Name,Style,Brewery,ABV,rating,minIBU,maxIBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Brett IPA,Brett Beer,Allagash Brewing Company,7.1,4.12,0,0,28,43,11,63,70,153,1,152,72,7,23
Smuttlabs Daily Brett,Brett Beer,Smuttynose Brewing Company,5.9,3.75,0,0,26,37,13,8,76,110,5,83,34,24,57
Brett Peat Daydream,Brett Beer,Birrificio Del Ducato,7,3.86,0,0,26,25,31,5,32,117,1,31,11,32,28
Reginald Brett,Brett Beer,Firestone Walker Brewing Co.,9.7,4.05,0,0,7,10,15,2,12,31,0,15,1,6,12
Keraterra,Brett Beer,Proclamation Ale Company,6.4,4.16,0,0,19,8,8,22,20,40,0,34,21,0,5
Bruxellensis,Brett Beer,Brasserie de la Senne,6.5,3.97,0,0,20,16,11,13,47,87,3,70,25,26,16
Grace,Brett Beer,2nd Shift Brewing,7.4,4.1,0,0,28,15,3,2,25,78,2,37,8,2,10
Smuttlabs Brett & I,Brett Beer,Smuttynose Brewing Company,6,4.03,0,0,32,20,11,3,39,87,0,61,7,8,19
Bianca Raspberry Wild Wild Brett,Brett Beer,Crooked Stave Artisan Beer Project,6,4.37,0,0,19,17,5,1,49,64,0,49,5,4,1
Brett Frambois,Brett Beer,Lake Effect Brewing Co.,5.5,3.7,0,0,14,10,2,2,24,27,0,21,10,0,2
Blackboard Series #2 - Dry-Hopped Brett Pils,Brett Beer,Victory Brewing Company - Downingtown,5.5,3.78,0,0,12,4,2,13,5,11,0,4,21,0,8
The Brett Conspiracy,Brett Beer,Cambridge Brewing Company,6,3.89,0,0,5,2,2,2,10,16,0,13,5,0,2
Funkmaster,Brett Beer,Revelry Brewing Co,7,4.03,0,0,1,5,0,7,5,6,0,8,8,0,0
Wayward (100% Brett),Brett Beer,Transient Artisan Ales,6,4.1,0,0,16,14,1,39,13,32,0,40,33,1,8
Embrace The Funk - Trio,Brett Beer,Yazoo Brewing Company,6.2,4.16,0,0,6,2,9,0,20,27,0,18,3,1,5
Sun Drift,Brett Beer,Allagash Brewing Company,6.7,3.9,0,0,6,8,8,7,7,35,0,31,21,0,9
Nightmare On Brett - Leopold Brothers Maryland Rye Whiskey,Brett Beer,Crooked Stave Artisan Beer Project,9.67,4.34,0,0,4,10,13,3,22,25,0,29,0,9,17
Fieldworks Brett IPA,Brett Beer,Karbach Brewing Co.,6.1,3.83,0,0,2,2,0,3,2,10,0,9,6,0,1
American Funk IPA,Brett Beer,Captain Lawrence Brewing Co.,7.5,3.93,0,0,17,9,6,37,13,60,0,24,37,5,1
Brett IPA,Brett Beer,Marble Brewery,6.8,4.21,0,0,11,10,0,19,24,44,1,41,22,7,10
Axilla,Brett Beer,Barrier Brewing Company,6.5,3.87,0,0,11,4,1,5,10,21,2,10,5,1,4
Brett Cerise,Brett Beer,Lake Effect Brewing Co.,5.5,3.72,0,0,2,3,0,0,3,8,0,11,1,0,0
Session Brett Ale,Brett Beer,Lake Effect Brewing Co.,5.5,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Ball Saison,Brett Beer,Crane Brewing Company,5.2,4.01,0,0,10,6,1,5,4,27,0,7,9,2,12
St. Bretta Citrus Wildbier,Brett Beer,Crooked Stave Artisan Beer Project,5.8,4.09,0,0,7,12,2,3,10,54,0,35,9,4,9
Brettarillo,Brett Beer,Other Half Brewing Company,6.2,4.06,0,0,3,3,0,5,2,4,0,7,5,1,2
Indian Brown Ale,Brown Ale - American,Dogfish Head Craft Brewery,7.2,4.12,25,45,10,42,18,82,53,13,0,15,71,6,93
Palo Santo Marron,Brown Ale - American,Dogfish Head Craft Brewery,12,4.22,25,45,13,52,29,34,65,9,1,24,14,27,88
Hazelnut Brown Nectar,Brown Ale - American,Rogue Ales,5.6,4.09,25,45,6,66,9,32,77,8,0,21,27,14,157
Tumbler Autumn Brown Ale,Brown Ale - American,Sierra Nevada Brewing Co.,5.5,3.86,25,45,17,76,6,61,67,5,0,9,40,27,146
Best Brown Ale,Brown Ale - American,Bell's Brewery - Eccentric Caf̩ & General Store,5.8,3.85,25,45,5,55,4,54,78,11,0,16,44,5,133
Moose Drool Brown Ale,Brown Ale - American,Big Sky Brewing Company,5.1,3.72,25,45,9,52,4,49,57,5,0,7,36,10,101
Old Brown Dog,Brown Ale - American,Smuttynose Brewing Company,6.7,3.94,25,45,14,37,9,51,50,5,0,5,58,3,91
Coffee Bender,Brown Ale - American,Surly Brewing Company,5.5,4.18,25,45,28,87,9,139,66,16,0,10,64,15,207
Wilco Tango Foxtrot,Brown Ale - American,Lagunitas Brewing Company,7.85,3.94,25,45,8,72,15,92,70,33,0,30,95,3,124
Brown Ale,Brown Ale - American,Brooklyn Brewery,5.6,3.65,25,45,15,70,4,43,60,6,0,2,33,1,109
Ellie's Brown Ale,Brown Ale - American,Avery Brewing Company,5.5,3.9,25,45,10,48,8,40,48,3,0,5,31,9,98
Bender,Brown Ale - American,Surly Brewing Company,5.5,4.09,25,45,10,75,12,62,71,6,0,8,47,11,155
Sumatra Mountain Brown,Brown Ale - American,Founders Brewing Company,9,4.3,25,45,8,103,27,106,105,9,3,12,33,13,218
Koko Brown,Brown Ale - American,Kona Brewing Co.,5.5,3.64,25,45,8,43,7,25,43,4,0,61,23,3,80
Frangelic Mountain Brown,Brown Ale - American,Founders Brewing Company,9,4.07,25,45,9,75,12,74,67,2,0,2,14,5,193
Pecan Ale,Brown Ale - American,Abita Brewing Co.,5.2,3.38,25,45,11,37,6,19,44,6,0,7,24,4,146
Cabin Fever,Brown Ale - American,New Holland Brewing Company,6.5,3.7,25,45,9,70,10,46,54,5,0,11,41,7,124
Maple Nut Brown Ale,Brown Ale - American,Tommyknocker Brewery,4.5,3.44,25,45,7,53,5,12,99,1,0,1,11,3,130
Durty Mud Season,Brown Ale - American,Smuttynose Brewing Company,8.4,3.97,25,45,14,62,20,122,73,19,1,27,123,6,100
Samuel Adams Hazel BrownBoston Beer Company (Samuel Adams),Brown Ale - American,Boston Beer Company (Samuel Adams),5.2,3.61,25,45,13,55,9,28,64,2,0,7,29,16,153
Rocky's Revenge Bourbon Brown,Brown Ale - American,Tyranena Brewing Company,6,3.74,25,45,9,59,46,18,60,0,0,5,16,19,128
